blue,	NN,	blue,	blue color or pigment; resembling the color of the clear sky in the daytime;blue clothing; 'Blues are coming'
white,	JJ,	white,	the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black; 'look at the White sky'
white,	NN,	white,	the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black;  'i like the whites'
yellow,	JJ,	yellow,	of the color intermediate between green and orange in the color spectrum; 'Can the carrot be yellow?'
yellow,	NN,	yellow,	yellow color or pigment; 'everyone dresses in yellow'
make,	VB,	make,	engage in;give certain properties to something;make or cause to be or to become;cause to do; cause to act in a specified manner; capable of being changed or made into; 'what are we gonna make her breakfast out_of ?'
make,	VBG,	making,	engage in;give certain properties to something;make or cause to be or to become;cause to do; cause to act in a specified manner; capable of being changed or made into; 'I'm making a doughnut .'
make,	VBP,	make,	engage in;give certain properties to something;make or cause to be or to become;cause to do; cause to act in a specified manner; capable of being changed or made into; 'They can make doughnut'
make,	VBZ,	makes,	engage in;give certain properties to something;make or cause to be or to become;cause to do; cause to act in a specified manner; capable of being changed or made into; 'that makes me feel really good .'
make,	VBD,	made,	engage in;give certain properties to something;make or cause to be or to become;cause to do; cause to act in a specified manner; capable of being changed or made into; 'I thought we'd made koolaid last time .'
make,	VBN,	made,	engage in;give certain properties to something;make or cause to be or to become;cause to do; cause to act in a specified manner; capable of being changed or made into; 'you made Santaclaus mad .'
make,	NNS,	makes,	a recognizable kind;the act of mixing cards haphazardly; 'a different make of car'
ball,	NNS,	balls,	round object that is hit or thrown or kicked in games; 'Get me some ball'
ball,	NN,	ball,	round object that is hit or thrown or kicked in games; 'I can make a ball from clay'
help,	VB,	help,	give help or assistance; be of service;improve the condition of;be of use; 'you can help me .'
help,	NN,	help,	the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose;a person who contributes to the fulfillment of a need or furtherance of an effort or purpose;a person or thing that is a resource that helps make something easier or possible to do;a means of serving, "he was a great help"
help,	VBZ,	helps,	give help or assistance; be of service;improve the condition of;be of use;abstain from doing; always used with a negative;help to some food; help with food or drink;contribute to the furtherance of;take or use;improve; change for the better, 'it helps you to put your shoes on .'
help,	VBP,	help,	give help or assistance; be of service;improve the condition of;be of use;abstain from doing; always used with a negative;help to some food; help with food or drink;contribute to the furtherance of;take or use;improve; change for the better, 'They help him to make food'
gonna,	VBG,	gonna,	--- No definition found for pos_key v ---, 'Im gonna go'
face,	NN,	face,	the front of the human head from the forehead to the chin and ear to ear;the feelings expressed on a person's face;the general outward appearance of something;the striking or working surface of an implement;a part of a person that is used to refer to a person;a surface forming part of the outside of an object;the part of an animal corresponding to the human face;the side upon which the use of a thing depends (usually the most prominent surface of an object;a contorted facial expression;a specific size and style of type within a type family;status in the eyes of others; 'the happy faces of these children'
face,	VB,	face,	deal with (something unpleasant;oppose, as in hostility or a competition;be oriented in a certain direction, often with respect to another reference point; be opposite to;be opposite;turn so as to face; turn the face in a certain direction;present somebody with something, usually to accuse or criticize;turn so as to expose the face;line the edge (of a garment, 'he turned to face he'
something,	NN,	something, a thing that is unspecified or unknown, 'we stopped for something to eat'
something,	RB,	something,	used for emphasis with a following adjective functioning as an adverb, 'my back hurts something terrible'
xxx,	NN,	xxx,	
xxx,	NNP,	xxx,	
pretty,	JJ,	pretty,	pleasing by delicacy or grace; 'its a pretty little doll'
pretty,	RB,	pretty,	to certain extent or degree, 'he looked pretty fit for his age'
wrong,	RB,	wrong,	in an inaccurate manner, 'that is the wrong answer'
wrong,	JJ,	wrong,	not correct; not in conformity with fact or truth;contrary to conscience or morality or law;not appropriate for a purpose or occasion;not functioning properly;based on or acting or judging in error;not in accord with established usage or procedure;used of the side of cloth or clothing intended to face inward;badly timed;characterized by errors, 'what am I doing wrong?'
think,	VBP,	think,	judge or regard; look upon; judge;expect, believe, or suppose;use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments;recall knowledge from memory; have a recollection;imagine or visualize;focus one's attention on a certain state;have in mind as a purpose;decide by pondering, reasoning, or reflecting;ponder; reflect on, or reason about;dispose the mind in a certain way;have or formulate in the mind;be capable of conscious thought;bring into a given condition by mental preoccupation, 'They think it is right to do that'
think,	VBD,	thought,	judge or regard; look upon; judge;expect, believe, or suppose;use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments;recall knowledge from memory; have a recollection;imagine or visualize;focus one's attention on a certain state;have in mind as a purpose;decide by pondering, reasoning, or reflecting;ponder; reflect on, or reason about;dispose the mind in a certain way;have or formulate in the mind;be capable of conscious thought;bring into a given condition by mental preoccupation, 'I thought that was you .'
think,	VB,	think,	judge or regard; look upon; judge;expect, believe, or suppose;use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments;recall knowledge from memory; have a recollection;imagine or visualize;focus one's attention on a certain state;have in mind as a purpose;decide by pondering, reasoning, or reflecting;ponder; reflect on, or reason about;dispose the mind in a certain way;have or formulate in the mind;be capable of conscious thought;bring into a given condition by mental preoccupation, 'can you think of anything else you want for your birthday ?'
think,	VBN,	thought,	judge or regard; look upon; judge;expect, believe, or suppose;use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments;recall knowledge from memory; have a recollection;imagine or visualize;focus one's attention on a certain state;have in mind as a purpose;decide by pondering, reasoning, or reflecting;ponder; reflect on, or reason about;dispose the mind in a certain way;have or formulate in the mind;be capable of conscious thought;bring into a given condition by mental preoccupation, 'I thought we'd made koolaid last time .'
call,	VB,	call,	 invite or command to meet;send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message;order, summon, or request for a specific duty or activity, work, role; 'please call me Lucy'
call,	VBP,	call,	 invite or command to meet;send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message;order, summon, or request for a specific duty or activity, work, role; 'hey you wanna call some people up about the party ?'
call,	NN,	call,	a telephone connection;a special disposition (as if from a divine source;a loud utterance; often in protest or opposition;the characteristic sound produced by a bird;a brief social visit;a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement;a demand for a show of hands in a card game;a request, 'call Jennifer up and tell her to come to your birthday party .'
hello,	NN,	hello,	an expression of greeting, 'Hello Amy'
seem,	VBZ,	seems,	give a certain impression or have a certain outward aspect;seem to be true, probable, or apparent;appear to exist;appear to one's own mind or opinion, ' what seems to be the problem ?'
home,	RB,	home,	at or to or in the direction of one's home or family;on or to the point aimed at; 'what time did he get home last night?'
home,	NN,	home,	where you live at a particular time;housing that someone is living in;the country or state or city where you live;(baseball;the place where you are stationed and from which missions start and end;place where something began and flourished;an environment offering affection and security;a social unit living together;an institution where people are cared for, 'an old people's home'
ask,	VB,	ask,	make a request or demand for something to somebody;direct or put; seek an answer to;consider obligatory; request and expect;address a question to and expect an answer from;require as useful, just, or proper;make a date;require or ask for as a price or condition, 'I was gonna ask Amy to come make supper with me .'
ask,	VBD,	asked,	make a request or demand for something to somebody;direct or put; seek an answer to;consider obligatory; request and expect;address a question to and expect an answer from;require as useful, just, or proper;make a date;require or ask for as a price or condition, ' she asked if that was a sesame street thing'
ask,	VBP,	ask,	make a request or demand for something to somebody;direct or put; seek an answer to;consider obligatory; request and expect;address a question to and expect an answer from;require as useful, just, or proper;make a date;require or ask for as a price or condition, 'They can ask her about tractor'
come,	VB,	come,	move toward, travel toward something or somebody or approach something or somebody;reach a destination; arrive by movement or progress;come to pass; arrive, as in due course;reach or enter a state, relation, condition, use, or position;to be the product or result;be found or available;come forth;be a native of;extend or reach;exist or occur in a certain point in a series;cover a certain distance;come under, be classified or included;happen as a result;add up in number or quantity;develop into;be received;come to one's mind; suggest itself;come from; be connected by a relationship of blood, for example;proceed or get along;experience orgasm;have a certain priority, 'if you're gonna have your birthday party , you better call some people up and tell them to come .'
come,	VBD,	came,	move toward, travel toward something or somebody or approach something or somebody;reach a destination; arrive by movement or progress;come to pass; arrive, as in due course;reach or enter a state, relation, condition, use, or position;to be the product or result;be found or available;come forth;be a native of;extend or reach;exist or occur in a certain point in a series;cover a certain distance;  'grandma came up driving in the truck .'
come,	VBN,	come,	move toward, travel toward something or somebody or approach something or somebody;reach a destination; arrive by movement or progress;come to pass; arrive, as in due course;reach or enter a state, relation, condition, use, or position;to be the product or result;be found or available;come forth;be a native of;extend or reach;exist or occur in a certain point in a series;cover a certain distance; 'He can come to my house.'
come,	VBG,	coming,	move toward, travel toward something or somebody or approach something or somebody;reach a destination; arrive by movement or progress;come to pass; arrive, as in due course;reach or enter a state, relation, condition, use, or position;to be the product or result;be found or available;come forth;be a native of;extend or reach;exist or occur in a certain point in a series;cover a certain distance; 'coming to pick me up .'
come,	VBP,	come,	move toward, travel toward something or somebody or approach something or somebody;reach a destination; arrive by movement or progress;come to pass; arrive, as in due course;reach or enter a state, relation, condition, use, or position;to be the product or result;be found or available;come forth;be a native of;extend or reach;exist or occur in a certain point in a series;cover a certain distance; 'here they come .'
